Unique Class Identifier,Subject,Catalog,Descr,Section,Cap Enrl,Pat,Mtg Start,Mtg End,Mode,Descr 1,Career,Term Descr
179010250032646,BIOLOGY,348LS,HERPETOLOGY,1,12,W,3:30:00 PM,4:45:00 PM,In Person,Biological Sciences 060,UGRD,2022 Spring Term
179010250032647,BIOLOGY,348LS,HERPETOLOGY,01L,12,F,1:45:00 PM,5:30:00 PM,In Person,Biological Sciences 060,UGRD,2022 Spring Term
179010250296760,BRAINSOC,396,CONNECTIONS IN BRAIN & SOC 2,13,18,W,10:15:00 AM,12:45:00 PM,Hybrid,,UGRD,2022 Spring Term
179010250307843,PUBPOL,298,AUTHENTIC LEADERSHIP,1,20,T,10:15:00 AM,12:45:00 PM,In Person,,UGRD,2022 Spring Term
179010250315152,ARTSVIS,496S,ARTSVIS/CINE ARTS SENIOR CAPST,1,12,F,12:00:00 PM,2:30:00 PM,In Person,Smith Warehouse Bay 10 A266,UGRD,2022 Spring Term
179010250315153,VMS,496S,ARTSVIS/CINE ARTS SENIOR CAPST,1,12,F,12:00:00 PM,2:30:00 PM,In Person,Smith Warehouse Bay 10 A266,UGRD,2022 Spring Term
179010250315154,CINE,499S,ARTSVIS/CINE ARTS SENIOR CAPST,1,12,F,12:00:00 PM,2:30:00 PM,In Person,Smith Warehouse Bay 10 A266,UGRD,2022 Spring Term
179010250332648,BIOLOGY,347L,PLANTS AND PEOPLE,1,15,MW,12:00:00 PM,1:15:00 PM,In Person,Biological Sciences 063,UGRD,2022 Spring Term
179010250332649,BIOLOGY,347L,PLANTS AND PEOPLE,01L,15,W,1:45:00 PM,4:15:00 PM,In Person,Biological Sciences 069,UGRD,2022 Spring Term
179010250353714,MUSIC,146,MOTOWN AND AMERICAN SOUL MUSIC,1,35,TH,1:45:00 PM,4:15:00 PM,In Person,Biddle 104,UGRD,2022 Spring Term
179010250353715,AAAS,146,MOTOWN AND AMERICAN SOUL MUSIC,1,35,TH,1:45:00 PM,4:15:00 PM,In Person,Biddle 104,UGRD,2022 Spring Term
179010250545254,HISTORY,120,HISTORY OF AMERICAN DEMOCRACY,1,40,WF,3:30:00 PM,4:45:00 PM,In Person,East Duke 108,UGRD,2022 Spring Term
179010251056762,BRAINSOC,396-1,CONNECTIONS IN BRAIN & SOC 2,13,18,W,10:15:00 AM,12:45:00 PM,Hybrid,,UGRD,2022 Spring Term
